,link,Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
68,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 17.690.000₫  19.990.000₫ -11%  Quà 1.090.000₫,16 GB,512 GB,17.690.000,19.990.000,-11%,1.090.000,0
69,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1,Trả góp 0%                  Dell Inspiron 15 3530 i7 1355U (N5I7301W1)           RAM 16 GB SSD 512 GB  21.490.000₫  22.390.000₫  Quà 100.000₫,16 GB,512 GB,21.490.000,22.390.000,N/A,N/A,0
70,https://www.thegioididong.com/laptop/msi-katana-15-b13udxk-i7-2077vn,Trả góp 0%     Tặng Office              MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN)           RAM 16 GB SSD 1 TB  23.990.000₫  26.990.000₫ -11%  Quà 990.000₫,16 GB,N/A,23.990.000,26.990.000,-11%,N/A,0
71,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa,Trả góp 0%     Tặng Office              HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA)           RAM 16 GB SSD 512 GB  21.190.000₫  25.290.000₫ -16%  Quà 1.190.000₫,16 GB,512 GB,21.190.000,25.290.000,-16%,1.190.000,0
72,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,Trả góp 0%     Tặng Office              Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002)           RAM 16 GB SSD 512 GB  18.990.000₫  22.990.000₫ -17%  Quà 1.890.000₫,16 GB,512 GB,18.990.000,22.990.000,-17%,1.890.000,0
73,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn,Trả góp 0%     Tặng Office              Lenovo V14 G4 i7 1355U (83A00012VN)           RAM 16 GB SSD 512 GB  18.990.000₫  19.990.000₫ -5%  Quà 1.090.000₫,16 GB,512 GB,18.990.000,19.990.000,-5%,1.090.000,0
74,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn,Trả góp 0%     Tặng Office              Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN)           RAM 16 GB SSD 512 GB  27.990.000₫  28.790.000₫  Quà 1.090.000₫,16 GB,512 GB,27.990.000,28.790.000,N/A,1.090.000,0
75,https://www.thegioididong.com/laptop/dell-latitude-3440-i5-l3440i51235u16g512g,Trả góp 0%     Tặng Office              Dell Latitude 3440 i5 1235U (L3440-I51235U-16G512G)           RAM 16 GB SSD 512 GB  16.990.000₫  18.990.000₫ -10%  Quà 1.090.000₫,16 GB,512 GB,16.990.000,18.990.000,-10%,1.090.000,0
76,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5340w1,Trả góp 0%                  Dell Inspiron 15 3530 i5 1334U (N5I5340W1)           RAM 16 GB SSD 512 GB  18.490.000₫  19.990.000₫ -7%  Quà 100.000₫,16 GB,512 GB,18.490.000,19.990.000,-7%,N/A,0
77,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Vivobook 15 X1504VA i5 1335U (NJ025W)           RAM 8 GB SSD 512 GB  Online giá rẻ quá 13.490.000₫  17.990.000₫ -25%  Quà 1.090.000₫,8 GB,512 GB,13.490.000,17.990.000,-25%,1.090.000,0
